Term	Mean	OrdinalClass	MajorityLabel	MajorityLabelRatio	NumberAnnotations	SetOfLabels
cheered	-0.31	0	-3	0.307692307692308	13	0,3,-1,-3,1,-3,1,-3,1,3,2,-3,-2
feeling good	-0.58	-1	-3	0.583333333333333	12	3,3,-3,-3,3,2,-3,-3,-3,-3,-3,3
delusion	0.91	1	3	0.347826086956522	23	-3,-3,-3,-3,0,0,-2,0,3,2,3,3,3,1,2,3,2,3,1,3,1,2,3
awe	-0.89	-1	-3	0.473684210526316	19	-3,-3,-3,3,-3,-3,0,-3,-3,2,-3,-3,-2,1,-1,3,2,-1,3
decisive	-0.32	0	-3	0.315789473684211	19	2,3,2,0,1,-3,0,-3,-3,1,1,-3,0,-3,-3,0,-1,3,0
relentlessness	0.45	0	2	0.272727272727273	11	-2,2,-3,-3,3,3,1,2,2,1,-1
breathtaking	0.20	0	2	0.4	15	3,-3,-3,2,2,0,2,-3,-3,2,2,2,-1,-2,3
intimidator	1.40	1	3	0.733333333333333	15	-3,3,-3,-3,-3,3,3,3,3,3,3,3,3,3,3
good god	0.06	0	-3	0.25	16	1,0,-3,-3,-3,1,-3,1,3,0,-1,2,0,3,1,2
exult	1.00	1	3	0.5	18	3,3,-3,-3,3,3,2,-3,2,3,-3,3,-3,3,0,3,2,3
laughter	-1.58	-2	-3	0.578947368421053	19	3,3,3,-3,-2,-2,-3,-2,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,0
good work	-1.40	-1	-3	0.533333333333333	15	0,-3,0,-3,-3,3,-3,2,-3,-3,-2,2,-3,-2,-3
favorable	-1.06	-1	-3	0.444444444444444	18	-2,2,2,2,1,-3,-3,-3,0,-3,-3,-3,-1,-3,2,-1,-3,0
hostilities	1.32	1	3	0.421052631578947	19	-3,-3,-3,-3,3,3,2,3,2,3,1,3,3,3,2,2,2,3,2
recuperative	-0.89	-1	-3	0.333333333333333	18	-1,-3,-3,3,-3,2,-2,-2,-2,-3,3,-3,-3,3,-2,0,1,-1
take solace	-1.33	-1	-3	0.533333333333333	15	-2,-3,1,-3,3,1,2,-3,-3,-3,-3,1,-3,-3,-2
